,crop_type
0,2
1,1
2,4
3,3
4,1
5,1
6,1
7,4
8,3
9,3
10,1
11,4
12,1
13,4
14,1
15,1
16,4
17,1
18,1
19,1
20,3
21,1
22,4
23,4
24,4
25,1
26,4
27,1
28,1
29,3
30,1
31,1
32,3
33,1
34,1
35,1
36,4
37,1
38,4
39,1
40,4
41,4
42,4
43,3
44,4
45,3
46,1
47,1
48,4
49,1
50,1
51,4
52,1
53,1
54,1
55,1
56,4
57,4
58,1
59,1
60,3
61,4
62,1
63,1
64,3
65,4
66,1
67,3
68,4
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,4
77,1
78,4
79,1
80,1
81,4
82,1
83,3
84,3
85,1
86,1
87,1
88,1
89,1
90,1
91,4
92,1
93,4
94,1
95,4
96,3
97,3
98,4
99,1
100,4
101,1
102,1
103,1
104,1
105,3
106,3
107,1
108,1
109,4
110,3
111,1
112,4
113,1
114,4
115,1
116,1
117,1
118,3
119,4
120,3
121,1
122,1
123,4
124,3
125,4
126,4
127,4
128,3
129,3
130,1
131,1
132,1
133,4
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,4
142,1
143,4
144,1
145,1
146,1
147,1
148,4
149,3
150,3
151,3
152,4
153,3
154,4
155,3
156,4
157,1
158,1
159,1
160,1
161,1
162,1
163,3
164,1
165,1
166,4
167,4
168,3
169,1
170,1
171,1
172,1
173,4
174,2
175,4
176,4
177,1
178,4
179,1
180,4
181,1
182,1
183,4
184,1
185,4
186,4
187,1
188,1
189,4
190,1
191,1
192,1
193,4
194,4
195,1
196,1
197,4
198,1
199,1
200,4
201,4
202,4
203,1
204,4
205,4
206,1
207,1
208,1
209,1
210,1
211,4
212,3
213,4
214,1
215,1
216,4
217,3
218,4
219,1
220,1
221,1
222,4
223,4
224,4
225,1
226,1
227,1
228,4
229,4
230,1
231,4
232,4
233,4
234,4
235,1
236,1
237,4
238,4
239,4
240,1
241,1
242,4
243,1
244,1
245,1
246,4
247,1
248,1
249,4
250,4
251,4
252,1
253,3
254,1
255,4
256,4
257,3
258,1
259,4
260,3
261,1
262,1
263,3
264,1
265,1
266,1
267,3
268,4
269,4
270,1
271,3
272,1
273,1
274,1
275,3
276,1
277,3
278,4
279,1
280,3
281,3
282,4
283,4
284,1
285,1
286,1
287,1
288,4
289,4
290,3
291,1
292,1
293,1
294,1
295,4
296,4
297,1
298,4
299,1
300,1
301,4
302,1
303,1
304,4
305,3
306,4
307,4
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,4
316,3
317,3
318,1
319,3
320,1
321,4
322,1
323,1
324,1
325,1
326,1
327,1
328,2
329,1
330,3
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,4
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,4
350,1
351,3
352,3
353,1
354,4
355,1
356,3
357,3
358,1
359,1
360,4
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,4
370,3
371,4
372,4
373,1
374,1
375,1
376,1
377,1
378,1
379,4
380,4
381,3
382,1
383,4
384,1
385,4
386,1
387,4
388,4
389,3
390,4
391,4
392,1
393,1
394,1
395,4
396,4
397,1
398,1
399,3
400,3
401,4
402,1
403,3
404,4
405,1
406,3
407,3
408,1
409,3
410,1
411,1
412,1
413,1
414,4
415,1
416,1
417,3
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,3
430,1
431,3
432,1
433,1
434,1
435,1
436,1
437,1
438,3
439,2
440,1
441,1
442,1
443,1
444,3
445,1
446,1
447,4
448,1
449,1
450,4
451,4
452,3
453,1
454,4
455,1
456,1
457,1
458,1
459,4
460,4
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,2
470,3
471,2
472,1
473,1
474,1
475,3
476,1
477,1
478,1
479,4
480,1
481,3
482,4
483,4
484,1
485,1
486,4
487,4
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,3
496,4
497,1
498,1
499,1
500,1
501,4
502,1
503,3
504,3
505,3
506,4
507,4
508,3
509,3
510,4
511,3
512,4
513,4
514,4
515,1
516,1
517,3
518,4
519,1
520,3
521,1
522,1
523,3
524,1
525,1
526,1
527,4
528,4
529,1
530,1
531,1
532,1
533,1
534,3
535,1
536,3
537,4
538,3
539,1
540,3
541,1
542,4
543,4
544,1
545,1
546,1
547,1
548,1
549,1
550,4
551,4
552,3
553,1
554,4
555,4
556,1
557,4
558,4
559,1
560,1
561,4
562,1
563,1
564,1
